"M1(D)","M1(D)[M1(G)=0.00]","M1(D)[M1(G)=1.25]","M1(D)[M1(G)=2.50]","M1(D)[M1(G)=3.75]","M1(D)[M1(G)=5.00]"
0,0,0,0,0,0
0.05,1.19332e-013,1.225e-006,2.475e-006,3.725e-006,4.975e-006
0.1,2.38664e-013,2.4e-006,4.9e-006,7.4e-006,9.9e-006
0.15,3.57995e-013,3.525e-006,7.275e-006,1.1025e-005,1.4775e-005
0.2,4.77327e-013,4.6e-006,9.6e-006,1.46e-005,1.96e-005
0.25,5.96659e-013,5.625e-006,1.1875e-005,1.8125e-005,2.4375e-005
0.3,7.15991e-013,6.6e-006,1.41e-005,2.16e-005,2.91e-005
0.35,8.35322e-013,7.525e-006,1.6275e-005,2.5025e-005,3.3775e-005
0.4,9.54654e-013,8.4e-006,1.84e-005,2.84e-005,3.84e-005
0.45,1.07399e-012,9.225e-006,2.0475e-005,3.1725e-005,4.2975e-005
0.5,1.19332e-012,1e-005,2.25e-005,3.5e-005,4.75e-005
0.55,1.31265e-012,1.0725e-005,2.4475e-005,3.8225e-005,5.1975e-005
0.6,1.43198e-012,1.14e-005,2.64e-005,4.14e-005,5.64e-005
0.65,1.55131e-012,1.2025e-005,2.8275e-005,4.4525e-005,6.0775e-005
0.7,1.67064e-012,1.26e-005,3.01e-005,4.76e-005,6.51e-005
0.75,1.78998e-012,1.3125e-005,3.1875e-005,5.0625e-005,6.9375e-005
0.8,1.90931e-012,1.36e-005,3.36e-005,5.36e-005,7.36e-005
0.85,2.02864e-012,1.4025e-005,3.5275e-005,5.6525e-005,7.7775e-005
0.9,2.14797e-012,1.44e-005,3.69e-005,5.94e-005,8.19e-005
0.95,2.2673e-012,1.4725e-005,3.8475e-005,6.2225e-005,8.5975e-005
1,2.38664e-012,1.5e-005,4e-005,6.5e-005,9e-005
1.05,2.50597e-012,1.5225e-005,4.1475e-005,6.7725e-005,9.3975e-005
1.1,2.6253e-012,1.54e-005,4.29e-005,7.04e-005,9.79e-005
1.15,2.74463e-012,1.5525e-005,4.4275e-005,7.3025e-005,0.000101775
1.2,2.86396e-012,1.56e-005,4.56e-005,7.56e-005,0.0001056
1.25,2.98329e-012,1.5625e-005,4.6875e-005,7.8125e-005,0.000109375
1.3,3.10263e-012,1.5625e-005,4.81e-005,8.06e-005,0.0001131
1.35,3.22196e-012,1.5625e-005,4.9275e-005,8.3025e-005,0.000116775
1.4,3.34129e-012,1.5625e-005,5.04e-005,8.54e-005,0.0001204
1.45,3.46062e-012,1.5625e-005,5.1475e-005,8.7725e-005,0.000123975
1.5,3.57995e-012,1.5625e-005,5.25e-005,9e-005,0.0001275
1.55,3.69928e-012,1.5625e-005,5.3475e-005,9.2225e-005,0.000130975
1.6,3.81862e-012,1.5625e-005,5.44e-005,9.44e-005,0.0001344
1.65,3.93795e-012,1.5625e-005,5.5275e-005,9.6525e-005,0.000137775
1.7,4.05728e-012,1.5625e-005,5.61e-005,9.86e-005,0.0001411
1.75,4.17661e-012,1.5625e-005,5.6875e-005,0.000100625,0.000144375
1.8,4.29594e-012,1.5625e-005,5.76e-005,0.0001026,0.0001476
1.85,4.41527e-012,1.5625e-005,5.8275e-005,0.000104525,0.000150775
1.9,4.53461e-012,1.5625e-005,5.89e-005,0.0001064,0.0001539
1.95,4.65394e-012,1.5625e-005,5.9475e-005,0.000108225,0.000156975
2,4.77327e-012,1.5625e-005,6e-005,0.00011,0.00016
2.05,4.8926e-012,1.5625e-005,6.0475e-005,0.000111725,0.000162975
2.1,5.01193e-012,1.5625e-005,6.09e-005,0.0001134,0.0001659
2.15,5.13127e-012,1.5625e-005,6.1275e-005,0.000115025,0.000168775
2.2,5.2506e-012,1.5625e-005,6.16e-005,0.0001166,0.0001716
2.25,5.36993e-012,1.5625e-005,6.1875e-005,0.000118125,0.000174375
2.3,5.48926e-012,1.5625e-005,6.21e-005,0.0001196,0.0001771
2.35,5.60859e-012,1.5625e-005,6.2275e-005,0.000121025,0.000179775
2.4,5.72792e-012,1.5625e-005,6.24e-005,0.0001224,0.0001824
2.45,5.84726e-012,1.5625e-005,6.2475e-005,0.000123725,0.000184975
2.5,5.96659e-012,1.5625e-005,6.25e-005,0.000125,0.0001875
2.55,6.08592e-012,1.5625e-005,6.25e-005,0.000126225,0.000189975
2.6,6.20525e-012,1.5625e-005,6.25e-005,0.0001274,0.0001924
2.65,6.32458e-012,1.5625e-005,6.25e-005,0.000128525,0.000194775
2.7,6.44391e-012,1.5625e-005,6.25e-005,0.0001296,0.0001971
2.75,6.56325e-012,1.5625e-005,6.25e-005,0.000130625,0.000199375
2.8,6.68258e-012,1.5625e-005,6.25e-005,0.0001316,0.0002016
2.85,6.80191e-012,1.5625e-005,6.25e-005,0.000132525,0.000203775
2.9,6.92124e-012,1.5625e-005,6.25e-005,0.0001334,0.0002059
2.95,7.04057e-012,1.5625e-005,6.25e-005,0.000134225,0.000207975
3,7.15991e-012,1.5625e-005,6.25e-005,0.000135,0.00021
3.05,7.27924e-012,1.5625e-005,6.25e-005,0.000135725,0.000211975
3.1,7.39857e-012,1.5625e-005,6.25e-005,0.0001364,0.0002139
3.15,7.5179e-012,1.5625e-005,6.25e-005,0.000137025,0.000215775
3.2,7.63723e-012,1.5625e-005,6.25e-005,0.0001376,0.0002176
3.25,7.75656e-012,1.5625e-005,6.25e-005,0.000138125,0.000219375
3.3,7.8759e-012,1.5625e-005,6.25e-005,0.0001386,0.0002211
3.35,7.99523e-012,1.5625e-005,6.25e-005,0.000139025,0.000222775
3.4,8.11456e-012,1.5625e-005,6.25e-005,0.0001394,0.0002244
3.45,8.23389e-012,1.5625e-005,6.25e-005,0.000139725,0.000225975
3.5,8.35322e-012,1.5625e-005,6.25e-005,0.00014,0.0002275
3.55,8.47255e-012,1.5625e-005,6.25e-005,0.000140225,0.000228975
3.6,8.59189e-012,1.5625e-005,6.25e-005,0.0001404,0.0002304
3.65,8.71122e-012,1.5625e-005,6.25e-005,0.000140525,0.000231775
3.7,8.83055e-012,1.5625e-005,6.25e-005,0.0001406,0.0002331
3.75,8.94988e-012,1.5625e-005,6.25e-005,0.000140613,0.000234375
